Title,Genre,Release date,Metascore,N. Critics,User Score,N. Users,Developer,Publisher
Chaos;Head Noah / Chaos;Child Double Pack,Compilation,"Oct 7, 2022",77,7,8.8,6,Mages.,Spike Chunsoft
Super Monkey Ball Banana Rumble,Party,"Jun 25, 2024",77,47,7.0,11,Sega,Sega
Northgard,Command RTS,"Feb 22, 2017",81,15,7.5,122,Shiro Games,Shiro Games
Mega Man Legacy Collection 2,Compilation,"Aug 8, 2017",71,39,7.0,37,Now Production,Capcom
Mario Kart 8 Deluxe: Booster Course Pass - Wave 2,Auto Racing,"Aug 4, 2022",77,8,6.4,20,Nintendo,Nintendo
The Pathless,Open-World Action,"Nov 12, 2020",77,50,7.6,146,Giant Squid,Annapurna Interactive
Overcooked!,Arcade,"Aug 2, 2016",78,24,7.9,262,Ghost Town Games Ltd.,Team17
The World Ends with You: Final Remix,Action RPG,"Oct 12, 2018",77,54,7.4,126,h.a.n.d. Inc.,Nintendo
Moving Out,Virtual Career,"Apr 28, 2020",74,25,7.6,47,SMG Studio,Team17
The Book of Unwritten Tales 2,Point-and-Click,"Feb 19, 2015",80,39,7.7,91,KING Art,THQ Nordic
Football Manager Touch 2018,Soccer Management,"Apr 13, 2018",77,16,6.8,19,Sports Interactive,Sega
Mantis Burn Racing,Auto Racing,"Nov 23, 2017",77,11,7.8,38,VooFoo Studios,VooFoo Studios
Darksiders: Warmastered Edition,Open-World Action,"Apr 2, 2019",77,24,8.0,97,Nordic Games Publishing,THQ Nordic
Tiny Metal: Full Metal Rumble,Turn-Based Tactics,"Jul 11, 2019",77,10,7.2,22,AREA35,AREA35
Space Invaders: Invincible Collection,Compilation,"Aug 17, 2021",77,14,tbd,N/A,Taito Corporation,Taito Corporation
Game Builder Garage,Application,"Jun 11, 2021",77,58,7.7,51,Nintendo,Nintendo
Do Not Feed the Monkeys,Simulation,"Jun 1, 2020",77,18,8.7,7,Alawar Premium,Alawar Premium
Sonic Origins Plus,Compilation,"Jun 23, 2023",78,29,7.0,62,Sega,Sega
Bravely Default II,JRPG,"Feb 26, 2021",76,116,7.8,338,Claytech Works,Square Enix
New Super Lucky's Tale,3D Platformer,"Nov 8, 2019",76,28,7.9,136,Playful Corp.,Playful Corp.
Disgaea 1 Complete,Turn-Based Tactics,"Oct 9, 2018",76,18,8.1,48,Nippon Ichi Software,NIS America
DOOM 64,FPS,"Mar 20, 2020",76,10,8.2,93,Nightdive Studios,Bethesda Softworks
Spirittea,Virtual Life,"Nov 13, 2023",76,10,7.5,4,Cheesemaster Games,No More Robots
Grapple Dog,2D Platformer,"Feb 10, 2022",76,20,7.3,7,Joseph Gribbin,Super Rare Games
Carrion,Metroidvania,"Jul 23, 2020",75,64,7.7,312,Phobia Game Studio,Devolver Digital
Tiny Thor,2D Platformer,"Aug 3, 2023",76,7,7.9,7,Jochen Heizmann,Gameforge
For the King,Roguelike,"Apr 19, 2018",79,13,7.0,120,IronOak Games,Curve Digital
The Long Dark,Survival,"Aug 1, 2017",77,17,6.8,529,Hinterland,Hinterland
Journey of the Broken Circle,Adventure,"Sep 18, 2020",76,9,7.3,24,Lovable Hat Cult,Nakana.io
Fitness Circuit,Exercise,"May 26, 2023",76,9,tbd,N/A,Jupiter Corporation,Spike Chunsoft
Bandle Tale: A League of Legends Story,RPG,"Feb 21, 2024",76,23,7.9,7,Lazy Bear Games,Riot Forge
Super Monkey Ball: Banana Mania,Compilation,"Oct 5, 2021",76,32,7.4,48,Sega,Sega
inbento,Stacking Puzzle,"Mar 12, 2020",76,9,8.3,9,Afterburn,7Levels
Wizard of Legend,Action RPG,"May 15, 2018",76,16,7.6,83,Contingent99,Humble Games
Voice of Cards: The Isle Dragon Roars,Card Battle,"Oct 28, 2021",75,28,7.6,33,A-lim,Square Enix
She Remembered Caterpillars,Action Puzzle,"Jan 17, 2017",82,8,5.9,21,Ysbryd Games,Ysbryd Games
Hob,Open-World Action,"Sep 26, 2017",76,31,7.4,143,Runic Games,Runic Games
Last Day of June,Third-Person Adventure,"Aug 31, 2017",75,32,7.1,69,Ovosonico,505 Games
Star Wars: Knights of the Old Republic II - The Sith Lords,Western RPG,"Dec 6, 2004",86,67,8.8,223,Obsidian Entertainment,LucasArts
Save me Mr Tako: Definitive Edition,2D Platformer,"May 5, 2021",76,13,5.7,7,Christophe Galati,Limited Run Games
Atelier Marie Remake: The Alchemist of Salburg,JRPG,"Jul 13, 2023",76,19,9.0,39,Gust,Koei Tecmo Games
Demon Turf,3D Platformer,"Nov 4, 2021",76,13,7.1,10,Fabraz,Playtonic Friends
LEGO Builder's Journey,Puzzle,"Jun 22, 2021",79,14,6.7,42,Light Brick,LEGO Games
Mario vs. Donkey Kong,2D Platformer,"Feb 16, 2024",76,107,8.1,153,Nintendo Software Technology,Nintendo
Creature in the Well,Action Adventure,"Sep 6, 2019",76,21,7.5,25,Flight School Studio,Flight School Studio
Young Souls,2D Beat-'Em-Up,"Mar 10, 2022",81,14,6.4,21,1P2P,The Arcade Crew
Piczle Cross: Story of Seasons,Logic Puzzle,"Feb 27, 2024",76,9,tbd,N/A,Score Studios,Rainy Frog
Super Chariot,2D Platformer,"May 10, 2018",76,9,7.7,15,Frima Studio,Microids
Friday the 13th: Killer Puzzle,Action Puzzle,"Oct 25, 2018",76,13,7.2,14,Blue Wizard Digital,Blue Wizard Digital
Gal Guardians: Demon Purge,Metroidvania,"Feb 23, 2023",76,12,7.5,15,Inti Creates,Inti Creates
Axiom Verge 2,Metroidvania,"Aug 11, 2021",76,20,7.2,64,Tom Happ,Tom Happ
Piczle Lines DX,Action Puzzle,"Aug 24, 2017",76,8,7.8,16,Score Studios,Rainy Frog
Metal Slug 3,Horizontal Shoot-'Em-Up,"May 26, 2004",76,56,6.3,25,SNK Playmore,SNK Playmore
Old School Musical,Rhythm,"Sep 13, 2018",76,16,7.6,10,La Moutarde,Playdius
Masters of Anima,MOBA,"Apr 10, 2018",74,21,5.0,16,Passtech Games,Focus Home Interactive
Syberia,Third-Person Adventure,"Sep 1, 2002",82,26,8.4,387,Microids,The Adventure Company
Brigandine: The Legend of Runersia,Turn-Based Tactics,"Jun 25, 2020",76,31,8.3,70,Matrix Software,Happinet
TENS!,Puzzle,"Nov 5, 2020",76,9,5.8,4,Kwalee Ltd,Kwalee Ltd
Super Mario Party,Party,"Oct 5, 2018",76,89,7.0,717,Nd Cube,Nintendo
Sushi Striker: The Way of Sushido,Matching Puzzle,"Jun 8, 2018",76,46,7.8,69,indieszero,Nintendo
Fantasy Strike,2D Fighting,"Jul 25, 2019",76,11,7.4,41,Sirlin Games,Sirlin Games
Sundered,Metroidvania,"Jul 28, 2017",74,40,7.4,76,Thunder Lotus Games,Thunder Lotus Games
SuperEpic: The Entertainment War,2D Platformer,"Dec 12, 2019",76,10,7.6,21,Numskull Games,Numskull Games
Final Fantasy IX,JRPG,"Nov 13, 2000",94,22,9.0,1684,SquareSoft,Square EA
Bombslinger,Action Puzzle,"Apr 11, 2018",76,8,7.1,14,Mode4,Mode4
Monster Hunter Stories,JRPG,"Jun 14, 2024",75,17,5.1,12,Capcom,Capcom
Mighty Gunvolt Burst,2D Platformer,"Jun 15, 2017",76,12,7.7,56,Inti Creates,Inti Creates
Fury Unleashed,2D Platformer,"May 8, 2020",76,10,7.4,22,Awesome Games Studio,Awesome Games Studio
Subnautica: Below Zero,Sandbox,"May 14, 2021",82,30,7.1,291,Unknown Worlds Entertainment,Bandai Namco Games
Embers of Mirrim,Action Adventure,"Dec 7, 2017",76,9,7.8,12,Creative Bytes,Creative Bytes
Assault Suits Valken Declassified,Horizontal Shoot-'Em-Up,"Mar 30, 2023",76,9,tbd,N/A,M2,Rainmaker Productions
Sol Cresta,Vertical Shoot-'Em-Up,"Feb 22, 2022",76,8,8.1,10,PlatinumGames,PlatinumGames
Pikuniku,Action Puzzle,"Jan 24, 2019",76,37,7.7,78,22nd Century Toys,Devolver Digital
Wasteland 2: Director's Cut,Western RPG,"Oct 13, 2015",80,21,7.5,217,InXile Entertainment,Deep Silver
One Piece: Pirate Warriors 3,3D Beat-'Em-Up,"Aug 25, 2015",74,34,7.6,200,Omega Force,Bandai Namco Games
WarioWare: Get It Together!,Party,"Sep 10, 2021",76,95,7.6,152,Nintendo,Nintendo
Planet Alpha,2D Platformer,"Sep 4, 2018",72,21,7.3,46,Adrian Lazar,Team17
Re:ZERO - Starting Life in Another World: The Prophecy of the Throne,Visual Novel,"Jan 29, 2021",68,8,7.4,14,Chime,Spike Chunsoft
Voice of Cards: The Beasts of Burden,Card Battle,"Sep 13, 2022",77,19,5.8,8,A-lim,Square Enix
Penny's Big Breakaway,3D Platformer,"Feb 21, 2024",74,16,7.5,53,Evening Star,Private Division
Pode,Third-Person Adventure,"Jun 21, 2018",76,15,7.5,24,Henchman & Goon,Henchman & Goon
Hero-U: Rogue to Redemption,Action RPG,"Feb 9, 2021",76,14,tbd,N/A,Transolar Games,Silesia Games
Pac-Man 99,Arcade,"Apr 7, 2021",76,28,7.7,38,Bandai Namco Games,Bandai Namco Games
The Swords of Ditto: Mormo's Curse,Action RPG,"May 2, 2019",76,13,7.0,29,One Bit Beyond,Devolver Digital
Necrobarista: Final Pour,Visual Novel,"Aug 11, 2021",76,13,9.0,6,Coconut Island Games,Playism
Read Only Memories: NEURODIVER,Visual Novel,"May 16, 2024",77,12,tbd,N/A,MidBoss,Chorus Worldwide
Digimon Story Cyber Sleuth: Complete Edition,Compilation,"Oct 18, 2019",76,20,6.7,167,Media.Vision,Bandai Namco Games
Wulverblade,2D Beat-'Em-Up,"Oct 12, 2017",76,17,7.5,42,Darkwind Media,Darkwind Media
Rune Factory 3 Special,Action RPG,"Sep 5, 2023",76,21,8.1,21,Marvelous Inc.,XSEED Games
Ys IX: Monstrum Nox,Action RPG,"Feb 2, 2021",80,48,7.9,125,Falcom,NIS America
Darius Cozmic Collection: Arcade,Compilation,"Jun 16, 2020",76,15,tbd,N/A,M2,ININ Games
Langrisser I & II,Compilation,"Mar 10, 2020",76,15,7.4,25,Kadokawa,NIS America
Amnesia Collection,Compilation,"Nov 22, 2016",78,27,7.7,126,Frictional Games,Frictional Games
A Hat in Time,3D Platformer,"Oct 5, 2017",79,41,8.7,579,Gears for Breakfast,Gears for Breakfast
The Jackbox Party Pack 7,Party,"Oct 15, 2020",75,8,8.0,5,"Jackbox Games, Inc.","Jackbox Games, Inc."
ATONE: Heart of the Elder Tree,Action Adventure,"Jan 27, 2023",76,8,tbd,N/A,Wildboy Studios,Untold Tales
LEGO Marvel Super Heroes 2,3D Platformer,"Nov 14, 2017",73,63,6.8,125,TT Games,Warner Bros. Interactive Entertainment
Temtem,Trainer RPG,"Sep 6, 2022",73,17,5.8,22,Crema Games,Humble Games
Floor Kids,Dancing,"Dec 7, 2017",76,16,7.4,20,Merj Media,Merj Media
Norn9: Last Era,Visual Novel,"Aug 31, 2023",76,7,tbd,N/A,Otomate,Aksys Games
Shin Megami Tensei III: Nocturne HD Remaster,JRPG,"May 21, 2021",76,36,7.6,69,Atlus,Sega
Smelter,2D Platformer,"Apr 22, 2021",75,9,6.4,5,X Plus,DANGEN Entertainment
Trigger Witch,Top-Down Shoot-'Em-Up,"Jul 29, 2021",75,9,8.8,4,Rainbite,EastAsiaSoft
Superliminal,First-Person Adventure,"Nov 12, 2019",74,38,7.7,318,Pillow Castle Games,Pillow Castle Games
OPUS: Echo of Starsong,Adventure,"May 11, 2022",75,9,8.4,20,SIGONO INC.,SIGONO INC.
Fae Farm,Virtual Life,"Sep 8, 2023",75,48,6.3,43,Phoenix Labs,Phoenix Labs
Unruly Heroes,2D Platformer,"May 28, 2019",75,15,7.2,26,Magic Design Studios,Magic Design Studios
Mary Skelter 2,JRPG,"Oct 22, 2019",75,14,7.8,27,Compile Heart,Idea Factory
Sam & Max Save the World Remastered,Point-and-Click,"Dec 2, 2020",75,20,4.9,22,Skunkape Games,Skunkape Games
SteamWorld Dig,Metroidvania,"Aug 8, 2013",82,31,8.0,163,Image & Form,Image & Form
Silence: The Whispered World 2,Adventure,"Nov 15, 2016",75,29,7.5,98,Daedalic Entertainment,Daedalic Entertainment
Dragon Ball: Xenoverse 2,3D Fighting,"Oct 25, 2016",72,58,7.4,362,Dimps Corporation,Bandai Namco Games
SnowRunner,Vehicle Sim,"Apr 28, 2020",81,23,7.1,284,Saber Interactive,Focus Home Interactive
Song of Nunu: A League of Legends Story,Third-Person Adventure,"Nov 1, 2023",75,31,6.6,32,Tequila Works,Riot Forge
Cursed to Golf,Golf,"Aug 18, 2022",80,19,5.7,11,Chuhai Labs,Thunderful
Mario Kart Live: Home Circuit,Auto Racing,"Oct 16, 2020",75,62,7.0,88,Velan Studios,Nintendo
Pokemon Sword / Shield: The Crown Tundra,Trainer RPG,"Oct 22, 2020",75,27,7.1,244,Game Freak,The Pokemon Company
Sparklite,Action Adventure,"Nov 14, 2019",72,17,6.4,19,Red Blue Games,Merge Games
Mario Tennis Aces,Tennis,"Jun 22, 2018",75,93,7.0,632,Camelot Software Planning,Nintendo
LEGO DC Super-Villains,Action Adventure,"Oct 16, 2018",74,43,6.5,270,TT Games,Warner Bros. Interactive Entertainment
Samurai Shodown,2D Fighting,"Jun 25, 2019",81,54,7.7,85,SNK Corporation,"Athlon Games, Inc."
Rock of Ages 2: Bigger & Boulder,Action,"Aug 28, 2017",79,14,7.3,28,ACE Team,Atlus
Observer,First-Person Adventure,"Aug 15, 2017",78,45,7.6,334,Bloober Team,Aspyr
The Mummy Demastered,2D Platformer,"Oct 24, 2017",75,7,7.2,41,WayForward,WayForward
Bomber Crew,Real-Time Strategy,"Jul 10, 2018",75,12,8.4,23,Runner Duck,Curve Digital
Manifold Garden,Action Adventure,"Oct 18, 2019",85,22,7.7,69,William Chyr Studio LLC,William Chyr Studio LLC
Cattails,Action RPG,"Nov 29, 2018",75,12,6.7,26,Falcon Development,Falcon Development
Coromon,Trainer RPG,"Mar 31, 2022",73,16,7.9,27,TRAGsoft,Freedom Games
Angry Video Game Nerd I & II Deluxe,Compilation,"Oct 30, 2020",75,13,8.1,17,FreakZone,Screenwave Media
Doraemon: Story of Seasons - Friends of the Great Kingdom,Virtual Life,"Nov 2, 2022",75,16,7.3,9,Bandai Namco Games,Bandai Namco Games
Labyrinth City: Pierre the Maze Detective,Adventure,"Jul 15, 2021",75,8,tbd,N/A,Darjeeling,Pixmain
Figment,Action Adventure,"Jun 28, 2018",75,13,7.0,64,Bedtime Digital Games,Bedtime Digital Games
Blade Strangers,2D Fighting,"Aug 28, 2018",75,17,7.9,18,Studio Saizensen,Nicalis
Yooka-Laylee,3D Platformer,"Apr 11, 2017",68,57,6.2,289,Playtonic Games,Team17
Bulb Boy,Point-and-Click,"Jul 6, 2017",75,13,7.3,49,Bulbware,Bulbware
City of Brass,Action Adventure,"May 4, 2018",66,22,4.8,22,Uppercut Games Pty Ltd,Uppercut Games Pty Ltd
X-Morph: Defense,Defense,"Feb 21, 2019",75,12,8.5,36,EXOR Studios,EXOR Studios
Labyrinth of Refrain: Coven of Dusk,JRPG,"Sep 18, 2018",75,9,7.2,25,Nippon Ichi Software,NIS America
Candleman,3D Platformer,"Feb 1, 2017",78,13,7.1,34,Spotlightor Interactive,E-Home Entertainment
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,Roguelike,"Jul 26, 2016",79,25,8.0,29,Spike Chunsoft,Aksys Games
Cake Bash,Party,"Oct 15, 2020",76,13,6.0,9,High Tea Frog,Coatsink Software
Headliner: NoviNews,Adventure,"Sep 5, 2019",75,15,7.4,11,Unbound Creations,Unbound Creations
We. The Revolution,Adventure,"Mar 21, 2019",75,17,7.2,49,Polyslash,Klabater
Arcade Spirits,Visual Novel,"May 1, 2020",75,9,7.0,4,Fiction Factory Games,PQube
Death Come True,Adventure,"Jun 24, 2020",75,8,4.0,17,Too Kyo Games,Izanagi Games
Road 96,First-Person Adventure,"Aug 16, 2021",79,44,7.7,246,Digixart Entertainment,Digixart Entertainment
Cloud Gardens,Puzzle,"Jun 16, 2022",75,7,tbd,N/A,Noio,Coatsink Software
QV,3D Platformer,"Nov 26, 2020",75,9,tbd,N/A,Izzle,CFK
Blizzard Arcade Collection,Compilation,"Feb 19, 2021",75,8,3.2,16,Digital Eclipse,Activision
The Legend of Steel Empire,Horizontal Shoot-'Em-Up,"Jan 23, 2024",75,8,tbd,N/A,Mebius,ININ Games
Crysis Remastered Trilogy,Compilation,"Oct 15, 2021",73,29,8.1,82,Crytek,Crytek
ToeJam & Earl: Back in the Groove!,2D Platformer,"Feb 15, 2019",75,22,6.2,93,22nd Century Toys,Limited Run Games
Ayo the Clown,2D Platformer,"Jul 28, 2021",75,10,6.8,8,Cloud M1,Cloud M1
Very Very Valet,Party,"May 25, 2021",75,8,7.5,6,Toyful Games,Toyful Games
Willy Jetman: Astromonkey's Revenge,Open-World Action,"Jan 31, 2020",75,8,7.7,12,Last Chicken Games,BadLand Publishing
Fire Emblem: Three Houses - Side Story: Cindered Shadows,Turn-Based Tactics,"Feb 13, 2020",75,16,8.0,73,Intelligent Systems,Nintendo
Jurassic World Evolution: Complete Edition,Tycoon,"Nov 3, 2020",75,24,7.4,32,Frontier Developments,Frontier Developments
ISLANDERS: Console Edition,Strategy,"Aug 11, 2021",75,13,6.9,8,GrizzlyGames,GrizzlyGames
WarioWare: Move It!,Party,"Nov 3, 2023",75,91,8.4,58,Intelligent Systems,Nintendo
I Am Setsuna,JRPG,"Jul 19, 2016",74,74,7.3,202,Tokyo RPG Factory,Square Enix
Bloodroots,3D Beat-'Em-Up,"Feb 28, 2020",75,16,7.0,26,Paper Cult,Paper Cult
Ministry of Broadcast,2D Platformer,"Jan 30, 2020",67,8,7.9,22,Ministry of Broadcast Studios,Hitcents
Another World: 20th Anniversary Edition,2D Platformer,"Sep 22, 2011",80,22,7.7,34,Bulkypix,Bulkypix
Assassin's Creed: The Ezio Collection,Compilation,"Nov 15, 2016",72,33,8.2,473,Ubisoft Montreal,Ubisoft
Steel Assault,2D Platformer,"Sep 28, 2021",75,11,8.7,6,Zenovia,Tribute Games
.hack//G.U. Last Recode,Compilation,"Nov 3, 2017",76,21,8.2,77,CyberConnect2,Bandai Namco Games
Osman,2D Platformer,"Apr 13, 2023",75,9,tbd,N/A,Mitchell,ININ Games
A Little To The Left,Puzzle,"Nov 8, 2022",75,26,7.2,31,Max Inferno,Secret Mode
Nidhogg 2,Action,"Aug 15, 2017",80,34,6.4,28,Messhof,Messhof
Shovel Knight Showdown,2D Platformer,"Dec 10, 2019",75,18,7.4,10,Yacht Club Games,Yacht Club Games
No More Heroes III,Open-World Action,"Aug 27, 2021",75,105,8.1,224,Grasshopper Manufacture,Marvelous Entertainment
Mr. Run and Jump,2D Platformer,"Jul 25, 2023",75,9,tbd,N/A,Graphite Lab,Atari
Shakedown Hawaii,Open-World Action,"May 7, 2019",75,13,7.3,51,Vblank Entertainment Inc.,Vblank Entertainment Inc.
Pocket Rumble,2D Fighting,"Jul 5, 2018",75,14,7.5,17,Cardboard Robot Games,Chucklefish
The Room,Adventure,"Oct 18, 2018",75,22,7.9,37,Fireproof Games,Team17
Doraemon: Story of Seasons,Tycoon,"Oct 11, 2019",75,24,7.5,47,Brownies,Bandai Namco Games
Cupid Parasite: Sweet and Spicy Darling,Visual Novel,"May 28, 2024",75,8,tbd,N/A,Otomate,Idea Factory
Black Future '88,2D Platformer,"Nov 21, 2019",75,19,7.4,11,SuperScarySnakes,Good Shepherd Entertainment
Moero Crystal H,Action RPG,"Sep 17, 2020",75,11,8.2,5,Idea Factory,EastAsiaSoft
Bleed,2D Platformer,"Dec 14, 2017",75,10,7.4,18,BootdiskRevolution,Digerati Distribution
The Flame in the Flood,Survival,"Feb 24, 2016",73,45,6.2,86,The Molasses Flood,The Molasses Flood
Disney Classic Games: Aladdin and the Lion King,Compilation,"Oct 29, 2019",77,13,5.7,38,Digital Eclipse,Nighthawk Interactive
Pac-Man Museum+,Compilation,"May 27, 2022",72,13,7.3,8,Bandai Namco Games,Bandai Namco Games
Super Mario Bros. 35,2D Platformer,"Oct 1, 2020",75,30,7.5,102,Nintendo,Nintendo
Broken Sword 5: The Serpent's Curse,Point-and-Click,"Dec 4, 2013",69,39,7.9,180,Revolution Software,Revolution Software
The Stretchers,Action,"Nov 8, 2019",75,20,7.2,21,Tarsier Studios,Nintendo
Overland,Turn-Based Tactics,"Sep 19, 2019",75,9,5.9,8,22nd Century Toys,Finji
Pato Box,Combat Sport,"Jul 9, 2018",74,14,7.5,13,Bromio,Bromio
Zombie Rollerz: Pinball Heroes,Pinball,"Mar 2, 2022",74,12,tbd,N/A,Firefly Games Inc.,Daedalic Entertainment
Ghosts 'n Goblins Resurrection,2D Platformer,"Feb 25, 2021",74,75,6.9,84,Capcom,Capcom
Aegis Defenders,Action RPG,"Feb 8, 2018",74,23,6.8,28,GUTS Department,Humble Games
Tricky Towers,Stacking Puzzle,"Aug 2, 2016",72,20,6.9,105,WeirdBeard,WeirdBeard
Furi,Action Adventure,"Jul 5, 2016",77,38,7.8,368,The Game Bakers,The Game Bakers
Neo Cab,Adventure,"Oct 3, 2019",74,18,5.4,35,Chance Agency,Chance Agency
Sky Force Reloaded,Vertical Shoot-'Em-Up,"Feb 1, 2018",74,16,7.6,26,Infinite Dreams,Infinite Dreams
Narita Boy,Action Adventure,"Mar 30, 2021",74,28,7.1,49,Studio Koba,Team17
Lode Runner Legacy,Action Puzzle,"Mar 29, 2018",74,7,7.5,6,Tozai Games,Tozai Games
CRYMACHINA,Action RPG,"Oct 24, 2023",65,18,6.6,14,Aquria,NIS America
Fate/Samurai Remnant,Action RPG,"Sep 29, 2023",81,29,9.0,128,Omega Force,Koei Tecmo Games
Portal Knights,Action RPG,"May 23, 2017",71,26,6.4,56,Keen Games,505 Games
ActRaiser Renaissance,Action Adventure,"Sep 23, 2021",74,19,7.8,27,Sonic Powered,Square Enix
El Shaddai: Ascension of the Metatron,Action Adventure,"Aug 16, 2011",78,46,7.5,49,Ignition Entertainment,Ignition Entertainment
Darksiders Genesis,Action RPG,"Dec 5, 2019",77,74,7.8,333,Airship Syndicate Entertainment,THQ Nordic
The Raven Remastered,Point-and-Click,"Mar 13, 2018",72,10,5.8,23,THQ Nordic,THQ Nordic
ICEY,2D Platformer,"May 31, 2018",74,13,8.2,21,X.D. Network Inc.,X.D. Network Inc.
Hotshot Racing,Auto Racing,"Sep 10, 2020",74,16,6.8,27,Lucky Mountain Games,Sumo Digital
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,3D Fighting,"Oct 13, 2021",69,32,7.1,94,CyberConnect2,Sega
Semblance,2D Platformer,"Jul 24, 2018",74,29,7.0,10,Nyamakop,Good Shepherd Entertainment
Starlink: Battle for Atlas,Space Combat Sim,"Oct 16, 2018",74,69,7.8,239,Ubisoft Toronto,Ubisoft
MindSeize,2D Platformer,"Sep 29, 2020",74,7,8.0,15,Kamina Dimension,First Press Games
The Coma 2: Vicious Sisters,Survival,"Sep 4, 2020",74,9,8.8,4,Devespresso Games,Headup Games
Immortal Redneck,FPS,"Apr 25, 2017",70,13,7.1,41,Crema Games,Crema Games
Monster Sanctuary,Action Adventure,"Dec 8, 2020",74,11,7.9,46,Moi Rai Games,Team17
Super Mutant Alien Assault,2D Platformer,"Jul 12, 2016",67,7,3.8,5,Cybernate,Fellow Traveller
Devil May Cry,Linear Action Adventure,"Oct 16, 2001",94,37,8.5,1062,Capcom,Capcom
Alder's Blood,Turn-Based Tactics,"Mar 13, 2020",74,12,7.5,27,Shockwork Games,No Gravity Games
void tRrLM(); //Void Terrarium,Roguelike,"Jul 14, 2020",74,11,7.0,9,Nippon Ichi Software,NIS America
Mighty Goose,2D Platformer,"Jun 5, 2021",74,16,7.5,13,Blastmode,Playism
Famicom Detective Club: The Girl Who Stands Behind,Visual Novel,"May 14, 2021",74,63,8.1,18,Mages.,Nintendo
Tesla vs Lovecraft,Top-Down Shoot-'Em-Up,"Mar 16, 2018",75,14,7.3,10,10tons,10tons
Battle Brothers,Turn-Based Tactics,"Apr 27, 2015",80,11,8.0,150,Overhype Studios,Overhype Studios
Shadow Bug,2D Platformer,"Mar 30, 2018",74,11,6.0,13,Muro Studios Ltd.,Muro Studios Ltd.
Contra: Operation Galuga,2D Platformer,"Mar 12, 2024",70,26,6.3,28,WayForward,Konami
Resolutiion,Linear Action Adventure,"May 28, 2020",74,8,5.3,4,Monolith of Minds,Deck 13
One Line Coloring,Puzzle,"Aug 21, 2020",74,9,tbd,N/A,MythicOwl,MythicOwl
Need for Speed: Hot Pursuit Remastered,Auto Racing,"Nov 6, 2020",75,36,5.7,175,Criterion Games,Electronic Arts
Disney TRON: Identity,Visual Novel,"Apr 11, 2023",67,15,3.3,6,Bithell Games,Bithell Games
Jotun,Action Adventure,"Sep 29, 2015",79,28,6.9,126,Thunder Lotus Games,Thunder Lotus Games
Trials of Mana,Action RPG,"Apr 24, 2020",76,54,7.6,157,Xeen,Square Enix
Bloodstained: Ritual of the Night,Metroidvania,"Jun 18, 2019",83,55,8.3,571,ArtPlay,505 Games
Aqua Kitty UDX,Horizontal Shoot-'Em-Up,"Feb 15, 2018",74,9,8.1,15,Tikipod Limited,Tikipod Limited
NBA 2K18,Basketball Sim,"Sep 15, 2017",80,54,1.9,762,Visual Concepts,2K Games
Centipede: Recharged,Arcade,"Sep 29, 2021",74,7,tbd,N/A,Adamvision Studios,Atari
art of rally,Auto Racing,"Sep 23, 2020",79,17,6.7,71,Funselektor Labs Inc.,Funselektor Labs Inc.
Yonder: The Cloud Catcher Chronicles,Open-World Action,"Jul 18, 2017",64,39,7.6,58,Prideful Sloth,Prideful Sloth
Marble It Up!,3D Platformer,"Sep 29, 2018",74,12,7.0,8,Bad Habit Productions,Bad Habit Productions
Puyo Puyo Champions,Matching Puzzle,"May 7, 2019",74,10,6.2,13,Sega,Sega
We Are OFK,Adventure,"Aug 18, 2022",76,13,3.2,16,Team OFK,Team OFK
Clustertruck,3D Platformer,"Sep 27, 2016",76,14,6.8,93,LandFall,tinyBuild
SUPERBEAT: XONiC,Rhythm,"Nov 10, 2015",81,22,7.3,34,Nurijoy,PM Studios Inc.
God Eater 3,Action RPG,"Feb 8, 2019",71,60,7.2,74,Marvelous First Studio,Bandai Namco Games
Darkwood,Survival,"May 14, 2019",80,25,8.0,72,Acid Wizard Studio,Crunching Koalas
Shantae,2D Platformer,"Apr 22, 2021",74,12,7.5,19,WayForward,WayForward
Giana Sisters: Twisted Dreams - Owltimate Edition,2D Platformer,"Sep 25, 2018",74,11,7.6,16,Black Forest Games,THQ Nordic
Princess Peach: Showtime!,Linear Action Adventure,"Mar 22, 2024",74,119,7.8,225,Good-Feel,Nintendo
Winter's Wish: Spirits of Edo,Visual Novel,"May 18, 2023",74,8,tbd,N/A,Otomate,Aksys Games
Ooblets,Trainer RPG,"Sep 1, 2022",74,25,7.0,28,Glumberland,Glumberland
Prinny Presents NIS Classics Vol. 2,Compilation,"May 10, 2022",74,11,tbd,N/A,Nippon Ichi Software,NIS America
Implosion - Never Lose Hope,Top-Down Shoot-'Em-Up,"Jul 6, 2017",74,7,7.9,44,Rayark Inc.,Flyhigh Works
One Step From Eden,Defense,"Mar 26, 2020",82,9,7.7,34,Thomas Moon Kang,Thomas Moon Kang
Implosion - Never Lose Hope,Top-Down Shoot-'Em-Up,"Jul 6, 2017",74,7,7.9,44,Rayark Inc.,Flyhigh Works
Out There: Omega The Alliance,Adventure,"Apr 9, 2019",74,7,tbd,N/A,Mi-Clos Studio,Raw Fury
One Step From Eden,Defense,"Mar 26, 2020",82,9,7.7,34,Thomas Moon Kang,Thomas Moon Kang
Vasara Collection,Compilation,"Aug 15, 2019",74,7,7.5,12,QUByte Interactive,QUByte Interactive
